LOADED 12 artifacts (4 anchors from f10_caliber, sha-asserted; 8 new); device sha256 8684d9a9f43a8d15beaa559cd12bd8f2977a3d088b01b93835f60f2bbf98a53d; identical anchor set n=10038 first 2022-01-31 00:00 last 2026-08-30 20:00
window sizes: 2024=2196, 2025=2190, 2026<=08-10=1332, 2024->26=5718, 2025->26=3522
UNITS: g = net_ex/gross_total [bps/anchor per unit gross]; NAV %/yr at L=2 (arithmetic) = mean g × 6 anchors/day × 365 days × 2 ÷ 1e4 × 100 = mean g × 43.8; 2×DD %NAV = maxDD(bps of g) × 2 / 100
### §B.1a Levels — PRIMARY per-gross caliber (g = net_ex/gross_total, bps/anchor per unit gross); arm d30_n2_c42; ⚠ = negative mean; NAV %/yr @2× = mean × 43.8 (per-gross only)

| φ | seed | window | mean bps/anchor | Sharpe (anchor) | maxDD bps | 2×DD %NAV | turnover/gross | NAV %/yr @2× | gross_total | w3_king | n |
| 0.55 | s2027 | 2024 | +0.655 | +1.50 | 1190 | 23.81 | 0.0966 | 28.68 | 0.540 | 0.723 | 2196 |
| 0.55 | s2027 | 2025 | +0.851 | +1.54 | 720 | 14.41 | 0.0926 | 37.26 | 0.505 | 0.742 | 2190 |
| 0.55 | s2027 | 2026<=08-10 | +3.282 | +5.06 | 422 | 8.43 | 0.0382 | 143.76 | 0.780 | 0.388 | 1332 |
| 0.55 | s2027 | 2024->26 | +1.342 | +2.50 | 1190 | 23.81 | 0.0815 | 58.77 | 0.582 | 0.652 | 5718 |
| 0.55 | s2027 | 2025->26 | +1.770 | +2.99 | 720 | 14.41 | 0.0720 | 77.54 | 0.609 | 0.608 | 3522 |
| 0.65 | s42 | 2024 | +0.715 | +1.69 | 901 | 18.01 | 0.1083 | 31.33 | 0.530 | 0.723 | 2196 |
| 0.65 | s42 | 2025 | +0.750 | +1.44 | 752 | 15.04 | 0.1296 | 32.85 | 0.461 | 0.742 | 2190 |
| 0.65 | s42 | 2026<=08-10 | +3.384 | +5.16 | 444 | 8.87 | 0.0365 | 148.21 | 0.776 | 0.388 | 1332 |
| 0.65 | s42 | 2024->26 | +1.350 | +2.58 | 901 | 18.01 | 0.0998 | 59.14 | 0.561 | 0.652 | 5718 |
| 0.65 | s42 | 2025->26 | +1.746 | +3.03 | 752 | 15.04 | 0.0944 | 76.48 | 0.580 | 0.608 | 3522 |
| 0.65 | s2027 | 2024 | +0.731 | +1.73 | 996 | 19.92 | 0.1038 | 32.01 | 0.536 | 0.723 | 2196 |
| 0.65 | s2027 | 2025 | +0.902 | +1.70 | 539 | 10.78 | 0.1017 | 39.52 | 0.499 | 0.742 | 2190 |
| 0.65 | s2027 | 2026<=08-10 | +3.292 | +5.03 | 427 | 8.53 | 0.0396 | 144.21 | 0.778 | 0.388 | 1332 |
| 0.65 | s2027 | 2024->26 | +1.393 | +2.65 | 996 | 19.92 | 0.0880 | 61.02 | 0.579 | 0.652 | 5718 |
| 0.65 | s2027 | 2025->26 | +1.806 | +3.11 | 539 | 10.78 | 0.0782 | 79.11 | 0.605 | 0.608 | 3522 |

### §B.2a Δ(φ − 0.45) — PRIMARY per-gross caliber (g = net_ex/gross_total, bps/anchor per unit gross); paired anchors; UTC-day-block bootstrap 2000, seed 20260905; cell = Δ ± s.e. [CI95] P(Δ>0)

| φ | seed | 2024 | 2025 | 2026<=08-10 | 2024->26 | 2025->26 | ΔSharpe 24on / 25on | Δturn/gross % 24on / 25on |
|---|---|---|---|---|---|---|---|---|
