total_pnl_bps,ann_return_pct,sharpe,max_dd_bps,win_rate,n_trades,time_in_mkt_pct,n_bars,pnl_per_trade,T_open,T_close,T_flip,fee_rt,max_hold
-1253.5617415023034,-44.09766627403493,-2.240058392343996,2717.9945625031532,0.5057300193481172,917,53.96353706529597,12451,-1.3670247998934606,1.0,-1.0,1.5,3.6,10
-1891.1591986238952,-66.5270041761518,-3.1772641872689356,3037.4110065368636,0.49936964195663136,742,63.705726447674884,12451,-2.5487320736171095,1.0,-1.0,1.5,3.6,20
-1601.8743956897638,-56.35057307140925,-2.6153073271535607,2972.7289750154423,0.5025724976613658,698,68.68524616496667,12451,-2.294948990959547,1.0,-1.0,1.5,3.6,30
-2242.183325661812,-78.87529488714752,-4.56668050027931,2996.5430332948454,0.4961485285403911,1167,40.6634005300779,12451,-1.9213224727179194,1.0,-1.0,1.5,4.0,5
-1620.3617415023036,-57.00091902481801,-2.8941288945807826,2965.4638827838935,0.5046881976484596,917,53.96353706529597,12451,-1.767024799893461,1.0,-1.0,1.5,4.0,10
-2187.9591986238956,-76.96780411189995,-3.6746109737226242,3249.0110065368935,0.498613212304589,742,63.705726447674884,12451,-2.94873207361711,1.0,-1.0,1.5,4.0,20
-1881.074395689764,-66.1722420136629,-3.0701498245050054,3110.7289750154596,0.5017539756782039,698,68.68524616496667,12451,-2.6949489909595474,1.0,-1.0,1.5,4.0,30
-3642.5833256618125,-128.13842234678933,-7.3996795523575285,3897.743033294764,0.4894331424056883,1167,40.6634005300779,12451,-3.12132247271792,1.0,-1.0,1.5,5.2,5
-2720.7617415023037,-95.71067727716724,-4.850730102949311,3770.663882783835,0.5011162375353475,917,53.96353706529597,12451,-2.967024799893461,1.0,-1.0,1.5,5.2,10
-3078.359198623896,-108.29020391914437,-5.16300445188835,3884.543555620083,0.49634392334846195,742,63.705726447674884,12451,-4.1487320736171105,1.0,-1.0,1.5,5.2,20
-2718.674395689764,-95.63724884042381,-4.431689674852122,3710.663640861935,0.5001169317118802,698,68.68524616496667,12451,-3.894948990959547,1.0,-1.0,1.5,5.2,30
-4342.783325661811,-152.7699860766102,-8.807837073201888,4363.54707100553,0.4870630061228521,1167,40.6634005300779,12451,-3.721322472717919,1.0,-1.0,1.5,5.8,5
-3270.961741502303,-115.0655564033418,-5.825116346654028,4173.263882783956,0.49962792082155083,917,53.96353706529597,12451,-3.5670247998934603,1.0,-1.0,1.5,5.8,10
-3523.559198623895,-123.95140382276652,-5.904698561989712,4208.543555620175,0.49508320726172467,742,63.705726447674884,12451,-4.748732073617109,1.0,-1.0,1.5,5.8,20
-3137.474395689764,-110.36975225380425,-5.1103981637974325,4016.6636408620325,0.4992984097287184,698,68.68524616496667,12451,-4.494948990959547,1.0,-1.0,1.5,5.8,30
-4926.283325661811,-173.29628918479426,-9.97620049205389,4945.547071005462,0.48429784712620977,1167,40.6634005300779,12451,-4.221322472717919,1.0,-1.0,1.5,6.3,5
-3729.461741502303,-131.19462234182063,-6.634713985387887,4509.380377326321,0.4982884357791338,917,53.96353706529597,12451,-4.06702479989346,1.0,-1.0,1.5,6.3,10
-3894.559198623895,-137.00240374245172,-6.52126529381857,4478.543555620176,0.4938224911749874,742,63.705726447674884,12451,-5.248732073617109,1.0,-1.0,1.5,6.3,20
-3486.474395689764,-122.64683843162129,-5.674738311234142,4271.663640862034,0.49847988774555657,698,68.68524616496667,12451,-4.994948990959547,1.0,-1.0,1.5,6.3,30
-5743.183325661812,-202.033113536252,-11.603129966395361,5760.347071005497,0.48034761998814934,1167,40.6634005300779,12451,-4.921322472717919,1.0,-1.0,1.5,7.0,5
-4371.361741502304,-153.77531465569103,-7.764033891384215,4980.480377326254,0.49605596070843877,917,53.96353706529597,12451,-4.767024799893461,1.0,-1.0,1.5,7.0,10
-4413.959198623896,-155.27380363001095,-7.381871115722226,4857.120400193147,0.4920574886535552,742,63.705726447674884,12451,-5.94873207361711,1.0,-1.0,1.5,7.0,20
-3975.074395689764,-139.83475908056516,-6.462669034698773,4628.663640861982,0.4971936389148737,698,68.68524616496667,12451,-5.694948990959547,1.0,-1.0,1.5,7.0,30
-8077.183325661812,-284.13832596898834,-16.184297068681865,8088.347071005497,0.4710645862137073,1167,40.6634005300779,12451,-6.921322472717919,1.0,-1.0,1.5,9.0,5
-6205.361741502304,-218.29157840960636,-10.959049754264406,6355.209233711008,0.49010269385325195,917,53.96353706529597,12451,-6.767024799893461,1.0,-1.0,1.5,9.0,10
-5897.959198623896,-207.47780330875162,-9.821004456955269,5987.880581407808,0.4881492687846697,742,63.705726447674884,12451,-7.94873207361711,1.0,-1.0,1.5,9.0,20
-5371.074395689764,-188.94310379183335,-8.697472506453526,5685.478711133474,0.49310102899906455,698,68.68524616496667,12451,-7.694948990959547,1.0,-1.0,1.5,9.0,30
-9244.183325661812,-325.19093218535653,-18.431057404076487,9252.347071005497,0.4675093817894529,1167,40.6634005300779,12451,-7.921322472717919,1.0,-1.0,1.5,10.0,5
-7122.361741502304,-250.54971028656405,-12.535826026579207,7153.054295562673,0.4874237237684179,917,53.96353706529597,12451,-7.767024799893461,1.0,-1.0,1.5,10.0,10
-6639.959198623896,-233.57980314812195,-11.027674795581245,6693.925393057056,0.4860060514372163,742,63.705726447674884,12451,-8.94873207361711,1.0,-1.0,1.5,10.0,20
